Forecast_Timestamp,Building_ID,Predicted_Occupancy,Forecast_Utilization_Percent,Overcrowded_Records,Workspace_Status,Agent_Decision,Priority,Alert_Type,Agent_Recommendation
2026-01-15 20:45:00,BLDG_B,0.25,1.08,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 21:45:00,BLDG_B,0.89,4.48,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 22:45:00,BLDG_B,0.95,5.42,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 23:45:00,BLDG_B,1.5,13.04,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 00:45:00,BLDG_B,0.0,0.0,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 01:45:00,BLDG_B,1.06,5.46,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 02:45:00,BLDG_B,1.29,6.8,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 03:45:00,BLDG_B,0.67,4.88,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 04:45:00,BLDG_B,0.5,1.67,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 05:45:00,BLDG_B,1.78,8.94,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 06:45:00,BLDG_B,1.17,5.88,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 07:45:00,BLDG_B,1.5,7.89,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 08:45:00,BLDG_B,3.0,12.0,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 09:45:00,BLDG_B,8.33,45.56,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 10:45:00,BLDG_B,5.0,62.5,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 11:45:00,BLDG_B,13.25,56.99,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 12:45:00,BLDG_B,4.28,21.57,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 13:45:00,BLDG_B,8.39,43.5,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 14:45:00,BLDG_B,6.5,56.52,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 15:45:00,BLDG_B,6.67,25.64,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 16:45:00,BLDG_B,4.79,28.0,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 17:45:00,BLDG_B,4.18,20.35,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 18:45:00,BLDG_C,2.0,5.71,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 19:45:00,BLDG_C,1.33,5.22,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 20:45:00,BLDG_C,2.58,11.57,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 21:45:00,BLDG_C,2.0,10.81,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 22:45:00,BLDG_C,0.0,0.0,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 23:45:00,BLDG_C,0.78,3.48,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 00:45:00,BLDG_C,1.0,10.0,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 01:45:00,BLDG_C,3.0,11.54,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 02:45:00,BLDG_C,0.94,4.23,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 03:45:00,BLDG_C,1.77,9.06,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 04:45:00,BLDG_C,0.5,4.17,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 05:45:00,BLDG_C,1.33,4.44,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 06:45:00,BLDG_C,0.68,3.15,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 07:45:00,BLDG_C,1.62,6.82,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 08:45:00,BLDG_C,4.0,27.27,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 09:45:00,BLDG_C,15.0,42.86,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 10:45:00,BLDG_C,6.49,28.45,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 11:45:00,BLDG_C,8.83,36.43,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 12:45:00,BLDG_C,9.5,51.35,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 13:45:00,BLDG_C,39.0,97.5,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 14:45:00,BLDG_C,8.08,39.59,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 15:45:00,BLDG_C,6.0,60.0,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 16:45:00,BLDG_C,10.75,41.35,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 17:45:00,BLDG_C,3.56,15.92,3,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
