Timestamp,Building_ID,Floor,Room_ID,Room_Type,Room_Capacity,Occupancy_Count,Temperature_C,Humidity_Percent,Working_Hours,Day_of_Week,Hour,Minute,Day,Month,Day_of_Week_Num,Is_Weekend,Available_Capacity,Utilization_Percent,Occupancy_Ratio,Occupancy_Status,Overcrowding_Flag,Peak_Hour,Occupancy_Load_Category
2026-01-05 12:00:00,BLDG_A,1,A102,Office,12,5,24.65,60.55,1,Monday,12,0,5,1,0,0,7,41.67,0.417,Low,0,0,Low Load
2026-01-05 12:15:00,BLDG_A,1,A103,Meeting Room,20,6,24.83,53.66,1,Monday,12,15,5,1,0,0,14,30.0,0.3,Low,0,0,Low Load
2026-01-05 12:30:00,BLDG_A,2,A201,Lab,30,6,22.7,58.48,1,Monday,12,30,5,1,0,0,24,20.0,0.2,Low,0,0,Low Load
2026-01-05 12:45:00,BLDG_A,2,A202,Conference,25,8,23.29,56.11,1,Monday,12,45,5,1,0,0,17,32.0,0.32,Low,0,0,Low Load
2026-01-05 13:00:00,BLDG_B,1,B101,Office,8,4,24.35,50.37,1,Monday,13,0,5,1,0,0,4,50.0,0.5,Normal,0,0,Moderate Load
2026-01-05 13:15:00,BLDG_B,1,B102,Office,15,5,22.36,58.41,1,Monday,13,15,5,1,0,0,10,33.33,0.333,Low,0,0,Low Load
2026-01-05 13:30:00,BLDG_B,1,B103,Meeting Room,18,5,24.38,58.13,1,Monday,13,30,5,1,0,0,13,27.78,0.278,Low,0,0,Low Load
2026-01-05 13:45:00,BLDG_B,2,B201,Training Room,35,12,23.29,54.44,1,Monday,13,45,5,1,0,0,23,34.29,0.343,Low,0,0,Low Load
2026-01-05 14:00:00,BLDG_B,2,B202,Conference,25,6,22.21,48.02,1,Monday,14,0,5,1,0,0,19,24.0,0.24,Low,0,1,Low Load
2026-01-05 14:15:00,BLDG_C,1,C101,Office,10,6,23.35,64.09,1,Monday,14,15,5,1,0,0,4,60.0,0.6,Normal,0,1,Moderate Load
2026-01-05 14:30:00,BLDG_C,1,C102,Office,14,7,22.68,53.56,1,Monday,14,30,5,1,0,0,7,50.0,0.5,Normal,0,1,Moderate Load
2026-01-05 14:45:00,BLDG_C,1,C103,Meeting Room,20,8,24.81,42.91,1,Monday,14,45,5,1,0,0,12,40.0,0.4,Low,0,1,Low Load
2026-01-05 15:00:00,BLDG_C,2,C201,Lab,30,15,23.09,44.88,1,Monday,15,0,5,1,0,0,15,50.0,0.5,Normal,0,1,Moderate Load
2026-01-05 15:15:00,BLDG_C,2,C202,Training Room,40,16,24.08,55.15,1,Monday,15,15,5,1,0,0,24,40.0,0.4,Low,0,1,Low Load
2026-01-05 15:30:00,BLDG_A,1,A101,Office,10,7,22.57,56.25,1,Monday,15,30,5,1,0,0,3,70.0,0.7,Normal,0,1,Moderate Load
2026-01-05 15:45:00,BLDG_A,1,A102,Office,12,7,24.8,57.5,1,Monday,15,45,5,1,0,0,5,58.33,0.583,Normal,0,1,Moderate Load
2026-01-05 16:00:00,BLDG_A,1,A103,Meeting Room,20,13,23.03,48.51,1,Monday,16,0,5,1,0,0,7,65.0,0.65,Normal,0,1,Moderate Load
2026-01-05 16:15:00,BLDG_A,2,A201,Lab,30,12,24.56,53.44,1,Monday,16,15,5,1,0,0,18,40.0,0.4,Low,0,1,Low Load
2026-01-05 16:30:00,BLDG_A,2,A202,Conference,25,7,24.18,60.87,1,Monday,16,30,5,1,0,0,18,28.0,0.28,Low,0,1,Low Load
2026-01-05 16:45:00,BLDG_B,1,B101,Office,8,6,24.3,48.07,1,Monday,16,45,5,1,0,0,2,75.0,0.75,High,0,1,High Load
2026-01-05 17:00:00,BLDG_B,1,B102,Office,15,1,22.82,52.09,1,Monday,17,0,5,1,0,0,14,6.67,0.067,Low,0,0,Low Load
2026-01-05 17:15:00,BLDG_B,1,B103,Meeting Room,18,21,23.99,53.89,1,Monday,17,15,5,1,0,0,-3,116.67,1.167,Overcrowded,1,0,Overloaded
2026-01-05 17:30:00,BLDG_B,2,B201,Training Room,35,3,23.22,54.62,1,Monday,17,30,5,1,0,0,32,8.57,0.086,Low,0,0,Low Load
2026-01-05 17:45:00,BLDG_B,2,B202,Conference,25,9,24.98,51.5,1,Monday,17,45,5,1,0,0,16,36.0,0.36,Low,0,0,Low Load
2026-01-05 18:00:00,BLDG_C,1,C101,Office,10,0,21.54,49.92,0,Monday,18,0,5,1,0,0,10,0.0,0.0,Low,0,0,Low Load
2026-01-05 18:15:00,BLDG_C,1,C102,Office,14,4,21.71,60.87,0,Monday,18,15,5,1,0,0,10,28.57,0.286,Low,0,0,Low Load
2026-01-05 18:30:00,BLDG_C,1,C103,Meeting Room,20,0,23.82,57.69,0,Monday,18,30,5,1,0,0,20,0.0,0.0,Low,0,0,Low Load
2026-01-05 18:45:00,BLDG_C,2,C201,Lab,30,1,22.65,50.42,0,Monday,18,45,5,1,0,0,29,3.33,0.033,Low,0,0,Low Load
2026-01-05 19:00:00,BLDG_C,2,C202,Training Room,40,3,22.15,46.42,0,Monday,19,0,5,1,0,0,37,7.5,0.075,Low,0,0,Low Load
2026-01-05 19:15:00,BLDG_A,1,A101,Office,10,0,22.91,66.05,0,Monday,19,15,5,1,0,0,10,0.0,0.0,Low,0,0,Low Load
2026-01-05 19:30:00,BLDG_A,1,A102,Office,12,1,22.56,57.0,0,Monday,19,30,5,1,0,0,11,8.33,0.083,Low,0,0,Low Load
2026-01-05 19:45:00,BLDG_A,1,A103,Meeting Room,20,3,22.96,52.12,0,Monday,19,45,5,1,0,0,17,15.0,0.15,Low,0,0,Low Load
2026-01-05 20:00:00,BLDG_A,2,A201,Lab,30,4,23.21,65.75,0,Monday,20,0,5,1,0,0,26,13.33,0.133,Low,0,0,Low Load
2026-01-05 20:15:00,BLDG_A,2,A202,Conference,25,1,21.23,45.42,0,Monday,20,15,5,1,0,0,24,4.0,0.04,Low,0,0,Low Load
2026-01-05 20:30:00,BLDG_B,1,B101,Office,8,2,24.77,53.74,0,Monday,20,30,5,1,0,0,6,25.0,0.25,Low,0,0,Low Load
2026-01-05 20:45:00,BLDG_B,1,B102,Office,15,0,24.45,47.25,0,Monday,20,45,5,1,0,0,15,0.0,0.0,Low,0,0,Low Load
2026-01-05 21:00:00,BLDG_B,1,B103,Meeting Room,18,0,23.47,52.24,0,Monday,21,0,5,1,0,0,18,0.0,0.0,Low,0,0,Low Load
2026-01-05 21:15:00,BLDG_B,2,B201,Training Room,35,1,22.5,57.36,0,Monday,21,15,5,1,0,0,34,2.86,0.029,Low,0,0,Low Load
2026-01-05 21:30:00,BLDG_B,2,B202,Conference,25,4,22.81,59.51,0,Monday,21,30,5,1,0,0,21,16.0,0.16,Low,0,0,Low Load
2026-01-05 21:45:00,BLDG_C,1,C101,Office,10,0,22.64,49.1,0,Monday,21,45,5,1,0,0,10,0.0,0.0,Low,0,0,Low Load
2026-01-05 22:00:00,BLDG_C,1,C102,Office,14,0,21.65,52.66,0,Monday,22,0,5,1,0,0,14,0.0,0.0,Low,0,0,Low Load
2026-01-05 22:15:00,BLDG_C,1,C103,Meeting Room,20,3,21.11,55.21,0,Monday,22,15,5,1,0,0,17,15.0,0.15,Low,0,0,Low Load
2026-01-05 22:30:00,BLDG_C,2,C201,Lab,30,0,22.31,62.02,0,Monday,22,30,5,1,0,0,30,0.0,0.0,Low,0,0,Low Load
2026-01-05 22:45:00,BLDG_C,2,C202,Training Room,40,3,24.3,53.92,0,Monday,22,45,5,1,0,0,37,7.5,0.075,Low,0,0,Low Load
2026-01-05 23:00:00,BLDG_A,1,A101,Office,10,0,22.43,56.7,0,Monday,23,0,5,1,0,0,10,0.0,0.0,Low,0,0,Low Load
2026-01-05 23:15:00,BLDG_A,1,A102,Office,12,1,21.4,55.63,0,Monday,23,15,5,1,0,0,11,8.33,0.083,Low,0,0,Low Load
2026-01-05 23:30:00,BLDG_A,1,A103,Meeting Room,20,1,25.72,68.14,0,Monday,23,30,5,1,0,0,19,5.0,0.05,Low,0,0,Low Load
2026-01-05 23:45:00,BLDG_A,2,A201,Lab,30,0,22.36,44.76,0,Monday,23,45,5,1,0,0,30,0.0,0.0,Low,0,0,Low Load
2026-01-06 00:00:00,BLDG_A,2,A202,Conference,25,0,23.08,63.44,0,Tuesday,0,0,6,1,1,0,25,0.0,0.0,Low,0,0,Low Load
2026-01-06 00:15:00,BLDG_B,1,B101,Office,8,0,21.92,39.97,0,Tuesday,0,15,6,1,1,0,8,0.0,0.0,Low,0,0,Low Load
2026-01-06 00:30:00,BLDG_B,1,B102,Office,15,0,21.43,51.29,0,Tuesday,0,30,6,1,1,0,15,0.0,0.0,Low,0,0,Low Load
2026-01-06 00:45:00,BLDG_B,1,B103,Meeting Room,18,0,22.59,42.7,0,Tuesday,0,45,6,1,1,0,18,0.0,0.0,Low,0,0,Low Load
2026-01-06 01:00:00,BLDG_B,2,B201,Training Room,35,0,25.26,45.99,0,Tuesday,1,0,6,1,1,0,35,0.0,0.0,Low,0,0,Low Load
2026-01-06 01:15:00,BLDG_B,2,B202,Conference,25,0,24.9,75.34,0,Tuesday,1,15,6,1,1,0,25,0.0,0.0,Low,0,0,Low Load
2026-01-06 01:30:00,BLDG_C,1,C101,Office,10,0,22.26,57.39,0,Tuesday,1,30,6,1,1,0,10,0.0,0.0,Low,0,0,Low Load
2026-01-06 01:45:00,BLDG_C,1,C102,Office,14,3,21.52,53.28,0,Tuesday,1,45,6,1,1,0,11,21.43,0.214,Low,0,0,Low Load
2026-01-06 02:00:00,BLDG_C,1,C103,Meeting Room,20,2,23.22,52.37,0,Tuesday,2,0,6,1,1,0,18,10.0,0.1,Low,0,0,Low Load
2026-01-06 02:15:00,BLDG_C,2,C201,Lab,30,1,21.05,53.33,0,Tuesday,2,15,6,1,1,0,29,3.33,0.033,Low,0,0,Low Load
2026-01-06 02:30:00,BLDG_C,2,C202,Training Room,40,0,22.98,51.11,0,Tuesday,2,30,6,1,1,0,40,0.0,0.0,Low,0,0,Low Load
2026-01-06 02:45:00,BLDG_A,1,A101,Office,10,1,23.92,56.09,0,Tuesday,2,45,6,1,1,0,9,10.0,0.1,Low,0,0,Low Load
2026-01-06 03:00:00,BLDG_A,1,A102,Office,12,1,22.76,55.0,0,Tuesday,3,0,6,1,1,0,11,8.33,0.083,Low,0,0,Low Load
2026-01-06 03:15:00,BLDG_A,1,A103,Meeting Room,20,0,23.08,54.32,0,Tuesday,3,15,6,1,1,0,20,0.0,0.0,Low,0,0,Low Load
2026-01-06 03:30:00,BLDG_A,2,A201,Lab,30,7,24.59,57.7,0,Tuesday,3,30,6,1,1,0,23,23.33,0.233,Low,0,0,Low Load
2026-01-06 03:45:00,BLDG_A,2,A202,Conference,25,0,21.37,63.34,0,Tuesday,3,45,6,1,1,0,25,0.0,0.0,Low,0,0,Low Load
2026-01-06 04:00:00,BLDG_B,1,B101,Office,8,1,23.28,42.79,0,Tuesday,4,0,6,1,1,0,7,12.5,0.125,Low,0,0,Low Load
2026-01-06 04:15:00,BLDG_B,1,B102,Office,15,2,23.25,47.23,0,Tuesday,4,15,6,1,1,0,13,13.33,0.133,Low,0,0,Low Load
2026-01-06 04:30:00,BLDG_B,1,B103,Meeting Room,18,0,23.02,55.37,0,Tuesday,4,30,6,1,1,0,18,0.0,0.0,Low,0,0,Low Load
2026-01-06 04:45:00,BLDG_B,2,B201,Training Room,35,0,22.58,53.24,0,Tuesday,4,45,6,1,1,0,35,0.0,0.0,Low,0,0,Low Load
2026-01-06 05:00:00,BLDG_B,2,B202,Conference,25,1,24.47,37.03,0,Tuesday,5,0,6,1,1,0,24,4.0,0.04,Low,0,0,Low Load
2026-01-06 05:15:00,BLDG_C,1,C101,Office,10,0,22.91,57.07,0,Tuesday,5,15,6,1,1,0,10,0.0,0.0,Low,0,0,Low Load
2026-01-06 05:30:00,BLDG_C,1,C102,Office,14,0,20.59,57.3,0,Tuesday,5,30,6,1,1,0,14,0.0,0.0,Low,0,0,Low Load
2026-01-06 05:45:00,BLDG_C,1,C103,Meeting Room,20,4,20.86,61.05,0,Tuesday,5,45,6,1,1,0,16,20.0,0.2,Low,0,0,Low Load
2026-01-06 06:00:00,BLDG_C,2,C201,Lab,30,0,22.63,47.63,0,Tuesday,6,0,6,1,1,0,30,0.0,0.0,Low,0,0,Low Load
2026-01-06 06:15:00,BLDG_C,2,C202,Training Room,40,0,24.26,59.08,0,Tuesday,6,15,6,1,1,0,40,0.0,0.0,Low,0,0,Low Load
2026-01-06 06:30:00,BLDG_A,1,A101,Office,10,2,24.11,58.07,0,Tuesday,6,30,6,1,1,0,8,20.0,0.2,Low,0,0,Low Load
2026-01-06 06:45:00,BLDG_A,1,A102,Office,12,3,23.23,60.8,0,Tuesday,6,45,6,1,1,0,9,25.0,0.25,Low,0,0,Low Load
2026-01-06 07:00:00,BLDG_A,1,A103,Meeting Room,20,0,22.78,50.12,0,Tuesday,7,0,6,1,1,0,20,0.0,0.0,Low,0,0,Low Load
2026-01-06 07:15:00,BLDG_A,2,A201,Lab,30,4,21.29,60.48,0,Tuesday,7,15,6,1,1,0,26,13.33,0.133,Low,0,0,Low Load
2026-01-06 07:30:00,BLDG_A,2,A202,Conference,25,0,24.11,60.26,0,Tuesday,7,30,6,1,1,0,25,0.0,0.0,Low,0,0,Low Load
2026-01-06 07:45:00,BLDG_B,1,B101,Office,8,2,23.58,44.0,0,Tuesday,7,45,6,1,1,0,6,25.0,0.25,Low,0,0,Low Load
2026-01-06 08:00:00,BLDG_B,1,B102,Office,15,4,23.18,65.58,1,Tuesday,8,0,6,1,1,0,11,26.67,0.267,Low,0,0,Low Load
2026-01-06 08:15:00,BLDG_B,1,B103,Meeting Room,18,5,22.58,55.23,1,Tuesday,8,15,6,1,1,0,13,27.78,0.278,Low,0,0,Low Load
2026-01-06 08:30:00,BLDG_B,2,B201,Training Room,35,2,24.17,63.09,1,Tuesday,8,30,6,1,1,0,33,5.71,0.057,Low,0,0,Low Load
2026-01-06 08:45:00,BLDG_B,2,B202,Conference,25,6,24.17,55.5,1,Tuesday,8,45,6,1,1,0,19,24.0,0.24,Low,0,0,Low Load
2026-01-06 09:00:00,BLDG_C,1,C101,Office,10,6,21.32,50.86,1,Tuesday,9,0,6,1,1,0,4,60.0,0.6,Normal,0,1,Moderate Load
2026-01-06 09:15:00,BLDG_C,1,C102,Office,14,9,25.57,57.58,1,Tuesday,9,15,6,1,1,0,5,64.29,0.643,Normal,0,1,Moderate Load
2026-01-06 09:30:00,BLDG_C,1,C103,Meeting Room,20,12,24.78,62.48,1,Tuesday,9,30,6,1,1,0,8,60.0,0.6,Normal,0,1,Moderate Load
2026-01-06 09:45:00,BLDG_C,2,C201,Lab,30,15,24.12,48.96,1,Tuesday,9,45,6,1,1,0,15,50.0,0.5,Normal,0,1,Moderate Load
2026-01-06 10:00:00,BLDG_C,2,C202,Training Room,40,16,24.26,62.0,1,Tuesday,10,0,6,1,1,0,24,40.0,0.4,Low,0,1,Low Load
2026-01-06 10:15:00,BLDG_A,1,A101,Office,10,5,25.58,49.79,1,Tuesday,10,15,6,1,1,0,5,50.0,0.5,Normal,0,1,Moderate Load
2026-01-06 10:30:00,BLDG_A,1,A102,Office,12,6,24.81,55.08,1,Tuesday,10,30,6,1,1,0,6,50.0,0.5,Normal,0,1,Moderate Load
2026-01-06 10:45:00,BLDG_A,1,A103,Meeting Room,20,13,24.81,58.88,1,Tuesday,10,45,6,1,1,0,7,65.0,0.65,Normal,0,1,Moderate Load
2026-01-06 11:00:00,BLDG_A,2,A201,Lab,30,22,21.4,66.23,1,Tuesday,11,0,6,1,1,0,8,73.33,0.733,Normal,0,1,Moderate Load
2026-01-06 11:15:00,BLDG_A,2,A202,Conference,25,26,21.88,46.24,1,Tuesday,11,15,6,1,1,0,-1,104.0,1.04,Overcrowded,1,1,Overloaded
2026-01-06 11:30:00,BLDG_B,1,B101,Office,8,3,24.33,58.67,1,Tuesday,11,30,6,1,1,0,5,37.5,0.375,Low,0,1,Low Load
2026-01-06 11:45:00,BLDG_B,1,B102,Office,15,9,21.03,55.38,1,Tuesday,11,45,6,1,1,0,6,60.0,0.6,Normal,0,1,Moderate Load
2026-01-06 12:00:00,BLDG_B,1,B103,Meeting Room,18,5,24.64,55.97,1,Tuesday,12,0,6,1,1,0,13,27.78,0.278,Low,0,0,Low Load
2026-01-06 12:15:00,BLDG_B,2,B201,Training Room,35,12,24.44,50.07,1,Tuesday,12,15,6,1,1,0,23,34.29,0.343,Low,0,0,Low Load
2026-01-06 12:30:00,BLDG_B,2,B202,Conference,25,7,24.78,52.24,1,Tuesday,12,30,6,1,1,0,18,28.0,0.28,Low,0,0,Low Load
2026-01-06 12:45:00,BLDG_C,1,C101,Office,10,9,24.8,41.05,1,Tuesday,12,45,6,1,1,0,1,90.0,0.9,Critical,0,0,High Load
2026-01-06 13:00:00,BLDG_C,1,C102,Office,14,4,21.0,50.25,1,Tuesday,13,0,6,1,1,0,10,28.57,0.286,Low,0,0,Low Load
2026-01-06 13:15:00,BLDG_C,1,C103,Meeting Room,20,8,24.04,62.62,1,Tuesday,13,15,6,1,1,0,12,40.0,0.4,Low,0,0,Low Load
2026-01-06 13:30:00,BLDG_C,2,C201,Lab,30,29,25.42,55.64,1,Tuesday,13,30,6,1,1,0,1,96.67,0.967,Critical,0,0,High Load
2026-01-06 13:45:00,BLDG_C,2,C202,Training Room,40,7,22.02,48.78,1,Tuesday,13,45,6,1,1,0,33,17.5,0.175,Low,0,0,Low Load
2026-01-06 14:00:00,BLDG_A,1,A101,Office,10,5,25.86,45.32,1,Tuesday,14,0,6,1,1,0,5,50.0,0.5,Normal,0,1,Moderate Load
2026-01-06 14:15:00,BLDG_A,1,A102,Office,12,7,24.37,54.08,1,Tuesday,14,15,6,1,1,0,5,58.33,0.583,Normal,0,1,Moderate Load
2026-01-06 14:30:00,BLDG_A,1,A103,Meeting Room,20,6,23.07,51.26,1,Tuesday,14,30,6,1,1,0,14,30.0,0.3,Low,0,1,Low Load
2026-01-06 14:45:00,BLDG_A,2,A201,Lab,30,10,24.31,53.68,1,Tuesday,14,45,6,1,1,0,20,33.33,0.333,Low,0,1,Low Load
2026-01-06 15:00:00,BLDG_A,2,A202,Conference,25,11,25.38,52.6,1,Tuesday,15,0,6,1,1,0,14,44.0,0.44,Low,0,1,Low Load
2026-01-06 15:15:00,BLDG_B,1,B101,Office,8,3,23.4,62.8,1,Tuesday,15,15,6,1,1,0,5,37.5,0.375,Low,0,1,Low Load
2026-01-06 15:30:00,BLDG_B,1,B102,Office,15,9,24.22,68.66,1,Tuesday,15,30,6,1,1,0,6,60.0,0.6,Normal,0,1,Moderate Load
2026-01-06 15:45:00,BLDG_B,1,B103,Meeting Room,18,13,23.99,62.53,1,Tuesday,15,45,6,1,1,0,5,72.22,0.722,Normal,0,1,Moderate Load
2026-01-06 16:00:00,BLDG_B,2,B201,Training Room,35,11,23.77,57.2,1,Tuesday,16,0,6,1,1,0,24,31.43,0.314,Low,0,1,Low Load
2026-01-06 16:15:00,BLDG_B,2,B202,Conference,25,8,21.31,47.18,1,Tuesday,16,15,6,1,1,0,17,32.0,0.32,Low,0,1,Low Load
2026-01-06 16:30:00,BLDG_C,1,C101,Office,10,5,26.12,62.74,1,Tuesday,16,30,6,1,1,0,5,50.0,0.5,Normal,0,1,Moderate Load
2026-01-06 16:45:00,BLDG_C,1,C102,Office,14,6,23.31,53.01,1,Tuesday,16,45,6,1,1,0,8,42.86,0.429,Low,0,1,Low Load
2026-01-06 17:00:00,BLDG_C,1,C103,Meeting Room,20,5,23.39,62.45,1,Tuesday,17,0,6,1,1,0,15,25.0,0.25,Low,0,0,Low Load
2026-01-06 17:15:00,BLDG_C,2,C201,Lab,30,3,26.92,56.56,1,Tuesday,17,15,6,1,1,0,27,10.0,0.1,Low,0,0,Low Load
2026-01-06 17:30:00,BLDG_C,2,C202,Training Room,40,13,24.5,54.6,1,Tuesday,17,30,6,1,1,0,27,32.5,0.325,Low,0,0,Low Load
2026-01-06 17:45:00,BLDG_A,1,A101,Office,10,2,24.32,49.04,1,Tuesday,17,45,6,1,1,0,8,20.0,0.2,Low,0,0,Low Load
2026-01-06 18:00:00,BLDG_A,1,A102,Office,12,1,24.0,57.57,0,Tuesday,18,0,6,1,1,0,11,8.33,0.083,Low,0,0,Low Load
2026-01-06 18:15:00,BLDG_A,1,A103,Meeting Room,20,0,23.24,52.84,0,Tuesday,18,15,6,1,1,0,20,0.0,0.0,Low,0,0,Low Load
2026-01-06 18:30:00,BLDG_A,2,A201,Lab,30,4,20.5,52.65,0,Tuesday,18,30,6,1,1,0,26,13.33,0.133,Low,0,0,Low Load
2026-01-06 18:45:00,BLDG_A,2,A202,Conference,25,0,20.91,64.55,0,Tuesday,18,45,6,1,1,0,25,0.0,0.0,Low,0,0,Low Load
2026-01-06 19:00:00,BLDG_B,1,B101,Office,8,1,21.84,44.48,0,Tuesday,19,0,6,1,1,0,7,12.5,0.125,Low,0,0,Low Load
2026-01-06 19:15:00,BLDG_B,1,B102,Office,15,0,22.05,71.94,0,Tuesday,19,15,6,1,1,0,15,0.0,0.0,Low,0,0,Low Load
2026-01-06 19:30:00,BLDG_B,1,B103,Meeting Room,18,1,22.03,58.26,0,Tuesday,19,30,6,1,1,0,17,5.56,0.056,Low,0,0,Low Load
2026-01-06 19:45:00,BLDG_B,2,B201,Training Room,35,0,22.34,55.7,0,Tuesday,19,45,6,1,1,0,35,0.0,0.0,Low,0,0,Low Load
2026-01-06 20:00:00,BLDG_B,2,B202,Conference,25,1,23.65,57.41,0,Tuesday,20,0,6,1,1,0,24,4.0,0.04,Low,0,0,Low Load
2026-01-06 20:15:00,BLDG_C,1,C101,Office,10,1,21.87,61.28,0,Tuesday,20,15,6,1,1,0,9,10.0,0.1,Low,0,0,Low Load
2026-01-06 20:30:00,BLDG_C,1,C102,Office,14,3,21.54,48.79,0,Tuesday,20,30,6,1,1,0,11,21.43,0.214,Low,0,0,Low Load
2026-01-06 20:45:00,BLDG_C,1,C103,Meeting Room,20,3,22.47,64.83,0,Tuesday,20,45,6,1,1,0,17,15.0,0.15,Low,0,0,Low Load
2026-01-06 21:00:00,BLDG_C,2,C201,Lab,30,0,24.45,55.92,0,Tuesday,21,0,6,1,1,0,30,0.0,0.0,Low,0,0,Low Load
2026-01-06 21:15:00,BLDG_C,2,C202,Training Room,40,2,24.58,52.47,0,Tuesday,21,15,6,1,1,0,38,5.0,0.05,Low,0,0,Low Load
2026-01-06 21:30:00,BLDG_A,1,A101,Office,10,0,22.16,58.17,0,Tuesday,21,30,6,1,1,0,10,0.0,0.0,Low,0,0,Low Load
2026-01-06 21:45:00,BLDG_A,1,A102,Office,12,0,23.46,51.23,0,Tuesday,21,45,6,1,1,0,12,0.0,0.0,Low,0,0,Low Load
2026-01-06 22:00:00,BLDG_A,1,A103,Meeting Room,20,3,19.83,49.49,0,Tuesday,22,0,6,1,1,0,17,15.0,0.15,Low,0,0,Low Load
2026-01-06 22:15:00,BLDG_A,2,A201,Lab,30,0,21.71,56.73,0,Tuesday,22,15,6,1,1,0,30,0.0,0.0,Low,0,0,Low Load
2026-01-06 22:30:00,BLDG_A,2,A202,Conference,25,0,22.4,53.89,0,Tuesday,22,30,6,1,1,0,25,0.0,0.0,Low,0,0,Low Load
2026-01-06 22:45:00,BLDG_B,1,B101,Office,8,1,21.49,59.95,0,Tuesday,22,45,6,1,1,0,7,12.5,0.125,Low,0,0,Low Load
2026-01-06 23:00:00,BLDG_B,1,B102,Office,15,2,23.16,58.9,0,Tuesday,23,0,6,1,1,0,13,13.33,0.133,Low,0,0,Low Load
2026-01-06 23:15:00,BLDG_B,1,B103,Meeting Room,18,1,25.14,54.39,0,Tuesday,23,15,6,1,1,0,17,5.56,0.056,Low,0,0,Low Load
2026-01-06 23:30:00,BLDG_B,2,B201,Training Room,35,0,21.8,47.77,0,Tuesday,23,30,6,1,1,0,35,0.0,0.0,Low,0,0,Low Load
2026-01-06 23:45:00,BLDG_B,2,B202,Conference,25,0,21.63,54.51,0,Tuesday,23,45,6,1,1,0,25,0.0,0.0,Low,0,0,Low Load
2026-01-07 00:00:00,BLDG_C,1,C101,Office,10,1,22.76,49.64,0,Wednesday,0,0,7,1,2,0,9,10.0,0.1,Low,0,0,Low Load
2026-01-07 00:15:00,BLDG_C,1,C102,Office,14,2,23.59,53.88,0,Wednesday,0,15,7,1,2,0,12,14.29,0.143,Low,0,0,Low Load
2026-01-07 00:30:00,BLDG_C,1,C103,Meeting Room,20,0,23.36,56.32,0,Wednesday,0,30,7,1,2,0,20,0.0,0.0,Low,0,0,Low Load
2026-01-07 00:45:00,BLDG_C,2,C201,Lab,30,0,22.62,56.83,0,Wednesday,0,45,7,1,2,0,30,0.0,0.0,Low,0,0,Low Load
