Event_ID,Timestamp,Building_ID,Zone,Person_ID,Person_Type,Badge_ID,Access_Type,Authorization_Status,Risk_Level,Event_Type,Access_Duration_Min,Security_Alert,CCTV_Status,Incident_Detected,Hour,Day,Day_of_Week,Month,Date,Working_Hours,Unauthorized_Access,Security_Alert_Flag,Incident_Flag,CCTV_Issue_Flag,High_Risk_Flag,Security_Event_Score,Security_Status
SEC_0011,2026-01-01 13:00:00,BLDG_C,Common Area,P1179,Visitor,BADGE_10063,Entry,Authorized,Low,Normal Access,97,No,Normal,No,13,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
SEC_0012,2026-01-01 13:30:00,BLDG_B,Meeting Room,P1036,Employee,BADGE_10013,Exit,Authorized,Low,Normal Access,161,No,Normal,No,13,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
SEC_0013,2026-01-01 14:00:00,BLDG_B,Parking Area,P1108,Visitor,BADGE_10044,Exit,Authorized,Low,Normal Access,85,No,Normal,No,14,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
SEC_0014,2026-01-01 14:30:00,BLDG_C,Common Area,P1121,Visitor,BADGE_10116,Exit,Authorized,Low,Normal Access,4,No,Normal,No,14,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
SEC_0015,2026-01-01 15:00:00,BLDG_A,Common Area,P1160,Employee,BADGE_10096,Entry,Authorized,Medium,Normal Access,114,No,Normal,No,15,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
SEC_0016,2026-01-01 15:30:00,BLDG_A,Office Floor,P1187,Employee,BADGE_10113,Exit,Authorized,Medium,Normal Access,3,No,Normal,No,15,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
SEC_0017,2026-01-01 16:00:00,BLDG_B,Office Floor,P1160,Employee,BADGE_10198,Exit,Authorized,Low,Normal Access,161,No,Normal,No,16,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
SEC_0018,2026-01-01 16:30:00,BLDG_B,Office Floor,P1240,Employee,BADGE_10144,Entry,Authorized,Medium,Normal Access,98,No,Normal,No,16,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
SEC_0019,2026-01-01 17:00:00,BLDG_A,Common Area,P1147,Employee,BADGE_10148,Exit,Authorized,Low,Normal Access,97,No,Normal,No,17,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
SEC_0020,2026-01-01 17:30:00,BLDG_A,Restricted Zone,P1298,Employee,BADGE_10099,Entry,Denied,Medium,Restricted Access,8,Yes,Unusual,No,17,1,Thursday,1,2026-01-01,Yes,0,1,0,1,0,2,Warning
SEC_0021,2026-01-01 18:00:00,BLDG_B,Server Room,P1037,Employee,BADGE_10160,Entry,Authorized,Low,Normal Access,10,No,Normal,No,18,1,Thursday,1,2026-01-01,No,0,0,0,0,0,0,Normal
SEC_0022,2026-01-01 18:30:00,BLDG_A,Parking Area,P1113,Visitor,BADGE_10456,Exit,Authorized,Low,Normal Access,165,No,Normal,No,18,1,Thursday,1,2026-01-01,No,0,0,0,0,0,0,Normal
SEC_0023,2026-01-01 19:00:00,BLDG_C,Common Area,P1194,Employee,BADGE_10310,Entry,Authorized,Low,Normal Access,164,No,Normal,No,19,1,Thursday,1,2026-01-01,No,0,0,0,0,0,0,Normal
SEC_0024,2026-01-01 19:30:00,BLDG_B,Office Floor,P1135,Employee,BADGE_10195,Entry,Authorized,Low,Normal Access,146,No,Normal,No,19,1,Thursday,1,2026-01-01,No,0,0,0,0,0,0,Normal
SEC_0025,2026-01-01 20:00:00,BLDG_A,Common Area,P1051,Employee,BADGE_10438,Exit,Authorized,Medium,Normal Access,9,No,Normal,No,20,1,Thursday,1,2026-01-01,No,0,0,0,0,0,0,Normal
SEC_0026,2026-01-01 20:30:00,BLDG_B,Parking Area,P1147,Employee,BADGE_10004,Exit,Authorized,Low,Normal Access,36,No,Normal,No,20,1,Thursday,1,2026-01-01,No,0,0,0,0,0,0,Normal
SEC_0027,2026-01-01 21:00:00,BLDG_C,Office Floor,P1037,Contractor,BADGE_10280,Entry,Authorized,Low,Normal Access,94,No,Normal,No,21,1,Thursday,1,2026-01-01,No,0,0,0,0,0,0,Normal
SEC_0028,2026-01-01 21:30:00,BLDG_B,Restricted Zone,P1256,Contractor,BADGE_10323,Exit,Authorized,Low,Normal Access,129,No,Normal,No,21,1,Thursday,1,2026-01-01,No,0,0,0,0,0,0,Normal
SEC_0029,2026-01-01 22:00:00,BLDG_A,Meeting Room,P1151,Visitor,BADGE_10450,Exit,Authorized,Low,Normal Access,128,No,Normal,No,22,1,Thursday,1,2026-01-01,No,0,0,0,0,0,0,Normal
SEC_0030,2026-01-01 22:30:00,BLDG_B,Server Room,P1247,Visitor,BADGE_10026,Exit,Authorized,Low,Normal Access,100,No,Normal,No,22,1,Thursday,1,2026-01-01,No,0,0,0,0,0,0,Normal
SEC_0031,2026-01-01 23:00:00,BLDG_A,Common Area,P1142,Employee,BADGE_10460,Entry,Authorized,Low,Normal Access,116,No,Normal,No,23,1,Thursday,1,2026-01-01,No,0,0,0,0,0,0,Normal
SEC_0032,2026-01-01 23:30:00,BLDG_A,Meeting Room,P1125,Employee,BADGE_10150,Exit,Authorized,Low,Normal Access,59,No,Normal,No,23,1,Thursday,1,2026-01-01,No,0,0,0,0,0,0,Normal
SEC_0033,2026-01-02 00:00:00,BLDG_C,Office Floor,P1060,Employee,BADGE_10492,Entry,Authorized,Low,Normal Access,109,No,Normal,No,0,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0034,2026-01-02 00:30:00,BLDG_B,Office Floor,P1269,Employee,BADGE_10370,Entry,Authorized,Low,Normal Access,125,No,Normal,No,0,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0035,2026-01-02 01:00:00,BLDG_B,Office Floor,P1279,Employee,BADGE_10127,Entry,Authorized,Low,Normal Access,138,No,Normal,No,1,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0036,2026-01-02 01:30:00,BLDG_B,Office Floor,P1237,Contractor,BADGE_10373,Entry,Authorized,Low,Normal Access,130,No,Normal,No,1,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0037,2026-01-02 02:00:00,BLDG_C,Parking Area,P1086,Employee,BADGE_10185,Exit,Authorized,Low,Normal Access,30,No,Normal,No,2,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0038,2026-01-02 02:30:00,BLDG_A,Office Floor,P1039,Employee,BADGE_10100,Exit,Authorized,Low,Normal Access,34,No,Normal,No,2,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0039,2026-01-02 03:00:00,BLDG_B,Common Area,P1147,Employee,BADGE_10442,Exit,Authorized,Low,Normal Access,97,No,Normal,No,3,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0040,2026-01-02 03:30:00,BLDG_C,Common Area,P1152,Employee,BADGE_10396,Entry,Authorized,Low,Normal Access,179,No,Normal,No,3,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0041,2026-01-02 04:00:00,BLDG_B,Office Floor,P1043,Visitor,BADGE_10044,Exit,Authorized,Low,Normal Access,30,No,Normal,No,4,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0042,2026-01-02 04:30:00,BLDG_A,Office Floor,P1090,Employee,BADGE_10418,Entry,Authorized,Low,Normal Access,116,No,Normal,No,4,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0043,2026-01-02 05:00:00,BLDG_A,Office Floor,P1249,Employee,BADGE_10164,Exit,Authorized,Low,Normal Access,139,No,Normal,No,5,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0044,2026-01-02 05:30:00,BLDG_B,Common Area,P1151,Employee,BADGE_10190,Exit,Authorized,Low,Normal Access,38,No,Normal,No,5,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0045,2026-01-02 06:00:00,BLDG_A,Common Area,P1217,Visitor,BADGE_10342,Entry,Authorized,Low,Normal Access,142,No,Normal,No,6,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0046,2026-01-02 06:30:00,BLDG_C,Meeting Room,P1052,Employee,BADGE_10339,Exit,Authorized,Medium,Normal Access,112,No,Normal,No,6,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0047,2026-01-02 07:00:00,BLDG_A,Office Floor,P1039,Employee,BADGE_10109,Exit,Authorized,Low,Normal Access,43,No,Normal,No,7,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0048,2026-01-02 07:30:00,BLDG_C,Restricted Zone,P1009,Employee,BADGE_10074,Exit,Authorized,Medium,Normal Access,146,No,Normal,No,7,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0049,2026-01-02 08:00:00,BLDG_A,Office Floor,P1165,Employee,BADGE_10422,Entry,Authorized,Low,Normal Access,84,No,Normal,No,8,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0050,2026-01-02 08:30:00,BLDG_B,Server Room,P1275,Visitor,BADGE_10445,Entry,Denied,Medium,Restricted Access,109,Yes,Normal,No,8,2,Friday,1,2026-01-02,No,0,1,0,0,0,1,Monitoring
SEC_0051,2026-01-02 09:00:00,BLDG_B,Meeting Room,P1058,Contractor,BADGE_10148,Entry,Authorized,Low,Normal Access,62,No,Normal,No,9,2,Friday,1,2026-01-02,Yes,0,0,0,0,0,0,Normal
SEC_0052,2026-01-02 09:30:00,BLDG_C,Parking Area,P1117,Employee,BADGE_10134,Entry,Authorized,Low,Normal Access,59,No,Normal,No,9,2,Friday,1,2026-01-02,Yes,0,0,0,0,0,0,Normal
SEC_0053,2026-01-02 10:00:00,BLDG_A,Restricted Zone,P1020,Employee,BADGE_10441,Exit,Authorized,High,Suspicious Activity,147,Yes,Unusual,Yes,10,2,Friday,1,2026-01-02,Yes,0,1,1,1,1,4,Critical
SEC_0054,2026-01-02 10:30:00,BLDG_A,Office Floor,P1012,Employee,BADGE_10330,Exit,Authorized,Low,Normal Access,17,No,Normal,No,10,2,Friday,1,2026-01-02,Yes,0,0,0,0,0,0,Normal
SEC_0055,2026-01-02 11:00:00,BLDG_C,Meeting Room,P1178,Employee,BADGE_10028,Entry,Authorized,Low,Normal Access,102,No,Normal,No,11,2,Friday,1,2026-01-02,Yes,0,0,0,0,0,0,Normal
SEC_0056,2026-01-02 11:30:00,BLDG_C,Restricted Zone,P1046,Employee,BADGE_10035,Entry,Authorized,Low,Normal Access,135,No,Normal,No,11,2,Friday,1,2026-01-02,Yes,0,0,0,0,0,0,Normal
SEC_0057,2026-01-02 12:00:00,BLDG_C,Parking Area,P1289,Employee,BADGE_10374,Entry,Denied,Low,Restricted Access,66,Yes,Normal,No,12,2,Friday,1,2026-01-02,Yes,0,1,0,0,0,1,Monitoring
SEC_0058,2026-01-02 12:30:00,BLDG_B,Restricted Zone,P1098,Employee,BADGE_10105,Exit,Authorized,Low,Normal Access,100,No,Normal,No,12,2,Friday,1,2026-01-02,Yes,0,0,0,0,0,0,Normal
SEC_0059,2026-01-02 13:00:00,BLDG_A,Office Floor,P1023,Employee,BADGE_10485,Exit,Authorized,Medium,Normal Access,54,No,Normal,No,13,2,Friday,1,2026-01-02,Yes,0,0,0,0,0,0,Normal
SEC_0060,2026-01-02 13:30:00,BLDG_C,Server Room,P1288,Employee,BADGE_10034,Entry,Authorized,Low,Normal Access,93,No,Normal,No,13,2,Friday,1,2026-01-02,Yes,0,0,0,0,0,0,Normal
SEC_0061,2026-01-02 14:00:00,BLDG_A,Office Floor,P1236,Employee,BADGE_10389,Entry,Authorized,Low,Normal Access,58,No,Normal,No,14,2,Friday,1,2026-01-02,Yes,0,0,0,0,0,0,Normal
SEC_0062,2026-01-02 14:30:00,BLDG_B,Common Area,P1192,Employee,BADGE_10252,Exit,Authorized,Medium,Normal Access,39,No,Normal,No,14,2,Friday,1,2026-01-02,Yes,0,0,0,0,0,0,Normal
SEC_0063,2026-01-02 15:00:00,BLDG_B,Common Area,P1030,Employee,BADGE_10247,Entry,Authorized,Low,Normal Access,107,No,Normal,No,15,2,Friday,1,2026-01-02,Yes,0,0,0,0,0,0,Normal
SEC_0064,2026-01-02 15:30:00,BLDG_C,Restricted Zone,P1034,Employee,BADGE_10262,Exit,Authorized,Low,Normal Access,54,No,Normal,No,15,2,Friday,1,2026-01-02,Yes,0,0,0,0,0,0,Normal
SEC_0065,2026-01-02 16:00:00,BLDG_A,Office Floor,P1008,Employee,BADGE_10388,Entry,Authorized,Low,Normal Access,105,No,Normal,No,16,2,Friday,1,2026-01-02,Yes,0,0,0,0,0,0,Normal
SEC_0066,2026-01-02 16:30:00,BLDG_B,Meeting Room,P1092,Visitor,BADGE_10170,Entry,Denied,High,Restricted Access,62,Yes,Normal,No,16,2,Friday,1,2026-01-02,Yes,0,1,0,0,1,2,Warning
SEC_0067,2026-01-02 17:00:00,BLDG_A,Common Area,P1073,Employee,BADGE_10282,Entry,Authorized,Low,Normal Access,48,No,Normal,No,17,2,Friday,1,2026-01-02,Yes,0,0,0,0,0,0,Normal
SEC_0068,2026-01-02 17:30:00,BLDG_B,Office Floor,P1113,Visitor,BADGE_10355,Exit,Authorized,Low,Normal Access,48,No,Normal,No,17,2,Friday,1,2026-01-02,Yes,0,0,0,0,0,0,Normal
SEC_0069,2026-01-02 18:00:00,BLDG_A,Common Area,P1007,Employee,BADGE_10003,Entry,Authorized,Low,Normal Access,112,No,Normal,No,18,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0070,2026-01-02 18:30:00,BLDG_C,Parking Area,P1119,Employee,BADGE_10485,Exit,Authorized,Low,Normal Access,29,No,Normal,No,18,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0071,2026-01-02 19:00:00,BLDG_A,Meeting Room,P1068,Employee,BADGE_10394,Entry,Authorized,Low,Normal Access,68,No,Normal,No,19,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0072,2026-01-02 19:30:00,BLDG_B,Meeting Room,P1042,Employee,BADGE_10425,Exit,Authorized,Low,Normal Access,102,No,Normal,No,19,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0073,2026-01-02 20:00:00,BLDG_A,Common Area,P1198,Employee,BADGE_10070,Entry,Denied,Low,Restricted Access,113,Yes,Normal,No,20,2,Friday,1,2026-01-02,No,0,1,0,0,0,1,Monitoring
SEC_0074,2026-01-02 20:30:00,BLDG_A,Office Floor,P1040,Employee,BADGE_10229,Entry,Authorized,Low,Normal Access,37,No,Normal,No,20,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0075,2026-01-02 21:00:00,BLDG_C,Restricted Zone,P1062,Employee,BADGE_10441,Exit,Authorized,High,Suspicious Activity,80,Yes,Suspicious,Yes,21,2,Friday,1,2026-01-02,No,0,1,1,0,1,3,Warning
SEC_0076,2026-01-02 21:30:00,BLDG_B,Meeting Room,P1140,Visitor,BADGE_10047,Entry,Denied,Medium,Restricted Access,2,Yes,Normal,No,21,2,Friday,1,2026-01-02,No,0,1,0,0,0,1,Monitoring
SEC_0077,2026-01-02 22:00:00,BLDG_B,Office Floor,P1178,Employee,BADGE_10010,Entry,Authorized,Low,Normal Access,6,No,Normal,No,22,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0078,2026-01-02 22:30:00,BLDG_A,Restricted Zone,P1038,Employee,BADGE_10419,Exit,Authorized,Low,Normal Access,95,No,Normal,No,22,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0079,2026-01-02 23:00:00,BLDG_A,Server Room,P1001,Visitor,BADGE_10296,Entry,Denied,Medium,Restricted Access,65,Yes,Normal,No,23,2,Friday,1,2026-01-02,No,0,1,0,0,0,1,Monitoring
SEC_0080,2026-01-02 23:30:00,BLDG_B,Server Room,P1005,Employee,BADGE_10339,Exit,Authorized,Low,Normal Access,124,No,Normal,No,23,2,Friday,1,2026-01-02,No,0,0,0,0,0,0,Normal
SEC_0081,2026-01-03 00:00:00,BLDG_B,Restricted Zone,P1125,Employee,BADGE_10422,Exit,Denied,Critical,Failed Access,98,Yes,Unusual,Yes,0,3,Saturday,1,2026-01-03,No,0,1,1,1,1,4,Critical
SEC_0082,2026-01-03 00:30:00,BLDG_C,Common Area,P1039,Employee,BADGE_10435,Exit,Authorized,Medium,Normal Access,135,No,Normal,No,0,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0083,2026-01-03 01:00:00,BLDG_A,Parking Area,P1157,Employee,BADGE_10038,Entry,Authorized,Low,Normal Access,98,No,Normal,No,1,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0084,2026-01-03 01:30:00,BLDG_B,Parking Area,P1118,Employee,BADGE_10294,Entry,Authorized,Low,Normal Access,142,No,Normal,No,1,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0085,2026-01-03 02:00:00,BLDG_A,Server Room,P1173,Employee,BADGE_10130,Entry,Authorized,Low,Normal Access,156,No,Normal,No,2,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0086,2026-01-03 02:30:00,BLDG_B,Parking Area,P1038,Employee,BADGE_10134,Entry,Authorized,Medium,Normal Access,24,No,Normal,No,2,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0087,2026-01-03 03:00:00,BLDG_B,Restricted Zone,P1171,Employee,BADGE_10460,Exit,Authorized,Low,Normal Access,101,No,Normal,No,3,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0088,2026-01-03 03:30:00,BLDG_C,Parking Area,P1051,Employee,BADGE_10029,Exit,Authorized,Low,Normal Access,41,No,Normal,No,3,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0089,2026-01-03 04:00:00,BLDG_C,Restricted Zone,P1001,Employee,BADGE_10319,Entry,Authorized,Low,Normal Access,56,No,Normal,No,4,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0090,2026-01-03 04:30:00,BLDG_A,Common Area,P1291,Employee,BADGE_10063,Exit,Authorized,Low,Normal Access,26,No,Normal,No,4,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0091,2026-01-03 05:00:00,BLDG_C,Restricted Zone,P1182,Employee,BADGE_10152,Entry,Denied,Critical,Restricted Access,26,Yes,Normal,Yes,5,3,Saturday,1,2026-01-03,No,0,1,1,0,1,3,Warning
SEC_0092,2026-01-03 05:30:00,BLDG_B,Meeting Room,P1049,Contractor,BADGE_10455,Entry,Authorized,Low,Normal Access,82,No,Normal,No,5,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0093,2026-01-03 06:00:00,BLDG_C,Office Floor,P1215,Employee,BADGE_10435,Entry,Denied,Low,Failed Access,124,No,Normal,No,6,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0094,2026-01-03 06:30:00,BLDG_C,Meeting Room,P1257,Employee,BADGE_10078,Exit,Authorized,Low,Normal Access,116,No,Normal,No,6,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0095,2026-01-03 07:00:00,BLDG_B,Common Area,P1055,Employee,BADGE_10359,Entry,Authorized,Low,Normal Access,132,No,Normal,No,7,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0096,2026-01-03 07:30:00,BLDG_A,Office Floor,P1008,Employee,BADGE_10321,Entry,Authorized,Low,Normal Access,58,No,Normal,No,7,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0097,2026-01-03 08:00:00,BLDG_A,Office Floor,P1097,Employee,BADGE_10092,Entry,Authorized,Low,Normal Access,9,No,Normal,No,8,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0098,2026-01-03 08:30:00,BLDG_A,Office Floor,P1223,Visitor,BADGE_10311,Exit,Authorized,Low,Normal Access,177,No,Normal,No,8,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0099,2026-01-03 09:00:00,BLDG_A,Common Area,P1082,Visitor,BADGE_10002,Exit,Authorized,Low,Normal Access,130,No,Normal,No,9,3,Saturday,1,2026-01-03,Yes,0,0,0,0,0,0,Normal
SEC_0100,2026-01-03 09:30:00,BLDG_C,Meeting Room,P1256,Employee,BADGE_10222,Entry,Authorized,Low,Normal Access,138,No,Normal,No,9,3,Saturday,1,2026-01-03,Yes,0,0,0,0,0,0,Normal
SEC_0101,2026-01-03 10:00:00,BLDG_B,Office Floor,P1215,Contractor,BADGE_10128,Exit,Authorized,Low,Normal Access,115,No,Normal,No,10,3,Saturday,1,2026-01-03,Yes,0,0,0,0,0,0,Normal
SEC_0102,2026-01-03 10:30:00,BLDG_A,Office Floor,P1004,Employee,BADGE_10154,Exit,Authorized,Low,Normal Access,30,No,Normal,No,10,3,Saturday,1,2026-01-03,Yes,0,0,0,0,0,0,Normal
SEC_0103,2026-01-03 11:00:00,BLDG_A,Office Floor,P1017,Employee,BADGE_10165,Exit,Authorized,Low,Normal Access,154,No,Normal,No,11,3,Saturday,1,2026-01-03,Yes,0,0,0,0,0,0,Normal
SEC_0104,2026-01-03 11:30:00,BLDG_B,Parking Area,P1098,Employee,BADGE_10268,Entry,Authorized,Low,Normal Access,54,No,Normal,No,11,3,Saturday,1,2026-01-03,Yes,0,0,0,0,0,0,Normal
SEC_0105,2026-01-03 12:00:00,BLDG_A,Restricted Zone,P1193,Employee,BADGE_10307,Entry,Authorized,Low,Normal Access,37,No,Normal,No,12,3,Saturday,1,2026-01-03,Yes,0,0,0,0,0,0,Normal
SEC_0106,2026-01-03 12:30:00,BLDG_C,Office Floor,P1055,Visitor,BADGE_10111,Entry,Denied,High,Restricted Access,153,Yes,Unusual,No,12,3,Saturday,1,2026-01-03,Yes,0,1,0,1,1,3,Warning
SEC_0107,2026-01-03 13:00:00,BLDG_C,Parking Area,P1201,Employee,BADGE_10154,Entry,Authorized,Low,Normal Access,74,No,Normal,No,13,3,Saturday,1,2026-01-03,Yes,0,0,0,0,0,0,Normal
SEC_0108,2026-01-03 13:30:00,BLDG_A,Parking Area,P1229,Employee,BADGE_10108,Exit,Authorized,Low,Normal Access,173,No,Normal,No,13,3,Saturday,1,2026-01-03,Yes,0,0,0,0,0,0,Normal
SEC_0109,2026-01-03 14:00:00,BLDG_C,Office Floor,P1012,Employee,BADGE_10318,Entry,Authorized,High,Suspicious Activity,81,Yes,Suspicious,Yes,14,3,Saturday,1,2026-01-03,Yes,0,1,1,0,1,3,Warning
SEC_0110,2026-01-03 14:30:00,BLDG_C,Parking Area,P1089,Visitor,BADGE_10268,Exit,Authorized,Low,Normal Access,144,No,Normal,No,14,3,Saturday,1,2026-01-03,Yes,0,0,0,0,0,0,Normal
SEC_0111,2026-01-03 15:00:00,BLDG_B,Office Floor,P1270,Employee,BADGE_10335,Entry,Authorized,High,Suspicious Activity,118,Yes,Suspicious,Yes,15,3,Saturday,1,2026-01-03,Yes,0,1,1,0,1,3,Warning
SEC_0112,2026-01-03 15:30:00,BLDG_C,Office Floor,P1103,Employee,BADGE_10273,Entry,Authorized,Low,Normal Access,15,No,Normal,No,15,3,Saturday,1,2026-01-03,Yes,0,0,0,0,0,0,Normal
SEC_0113,2026-01-03 16:00:00,BLDG_B,Office Floor,P1039,Employee,BADGE_10015,Entry,Authorized,Low,Normal Access,121,No,Normal,No,16,3,Saturday,1,2026-01-03,Yes,0,0,0,0,0,0,Normal
SEC_0114,2026-01-03 16:30:00,BLDG_B,Parking Area,P1227,Employee,BADGE_10170,Exit,Authorized,Low,Normal Access,35,No,Normal,No,16,3,Saturday,1,2026-01-03,Yes,0,0,0,0,0,0,Normal
SEC_0115,2026-01-03 17:00:00,BLDG_A,Server Room,P1245,Employee,BADGE_10236,Exit,Authorized,High,Suspicious Activity,17,Yes,Suspicious,Yes,17,3,Saturday,1,2026-01-03,Yes,0,1,1,0,1,3,Warning
SEC_0116,2026-01-03 17:30:00,BLDG_C,Restricted Zone,P1003,Visitor,BADGE_10429,Entry,Authorized,Low,Normal Access,143,No,Normal,No,17,3,Saturday,1,2026-01-03,Yes,0,0,0,0,0,0,Normal
SEC_0117,2026-01-03 18:00:00,BLDG_A,Server Room,P1140,Employee,BADGE_10187,Exit,Authorized,Low,Normal Access,38,No,Normal,No,18,3,Saturday,1,2026-01-03,No,0,0,0,0,0,0,Normal
SEC_0118,2026-01-03 18:30:00,BLDG_C,Office Floor,P1052,Employee,BADGE_10260,Exit,Denied,Low,Failed Access,60,No,Unusual,No,18,3,Saturday,1,2026-01-03,No,0,0,0,1,0,1,Monitoring
